InstState,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
NH,0.138559271,0.144487441,0.151944416,0.163355153,0.169372803,0.176066724,0.183879821,0.191071504,0.199260957,0.209098823,0.216241494,0.221162,0.216795011,0.219936707,0.221831078,0.23141714,0.239062968
NJ,0.023635338,0.02273694,0.023858364,0.024845343,0.025350299,0.026246899,0.028616548,0.031636389,0.033455218,0.03506541,0.036374788,0.038812783,0.037248006,0.038705317,0.0401361,0.040534039,0.041023257
NM,0.319822587,0.33331205,0.355258058,0.374695026,0.394161221,0.400462599,0.407198787,0.430924055,0.460185399,0.484672372,0.501222595,0.500659635,0.516379806,0.541686489,0.552952439,0.585011498,0.600249645
NV,0.104484887,0.111230518,0.119365114,0.124616112,0.130641406,0.135269641,0.140488714,0.149528453,0.160600155,0.173975408,0.178538893,0.18664696,0.183387456,0.187057489,0.192437987,0.197103542,0.204168874
NY,0.007090512,0.007536563,0.007625144,0.008081538,0.008530287,0.009111233,0.009979505,0.01045973,0.011071252,0.011877023,0.012989004,0.014611337,0.014608639,0.016278185,0.018958991,0.023603413,0.024722589
OH,0.15443637,0.16411506,0.170333253,0.177668373,0.179385132,0.186251719,0.192749593,0.202879281,0.210162242,0.21587503,0.221643125,0.221562188,0.215618281,0.224369795,0.237669506,0.247441274,0.25416667
OK,0.035933682,0.036723715,0.038059172,0.041107341,0.043814227,0.044721618,0.047617356,0.051228036,0.056315362,0.061864478,0.06551068,0.07032417,0.064591148,0.067408197,0.073683046,0.07837603,0.083231338
OR,0.0453201,0.047449637,0.048446059,0.052859362,0.052452879,0.054499231,0.057385077,0.063997611,0.066338933,0.073546353,0.076863412,0.081356752,0.081396321,0.085936875,0.089897831,0.088568669,0.088792144
PA,0.159917588,0.168053533,0.175640457,0.183706707,0.191559373,0.196898952,0.205356846,0.217520745,0.227749355,0.236505815,0.25174756,0.260540892,0.258082212,0.26828834,0.276718805,0.286829158,0.297374321
RI,0.013103665,0.013841538,0.014560976,0.015563693,0.016313707,0.017243581,0.018340274,0.019655497,0.020532312,0.021588088,0.021602926,0.021287722,0.021452294,0.022190617,0.022354739,0.022930739,0.02350494
